Formatted Date,Precip Type,Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Loud Cover,Pressure (millibars),Summary
2015-02-22 00:00:00.000 +0100,rain,3.705555556,-0.094444444,0.63,16.7118,131,9.982,0,1009.37,Overcast
2015-02-22 01:00:00.000 +0100,rain,4.138888889,0.577777778,0.64,15.8102,130,9.982,0,1009.33,Overcast
2015-02-22 02:00:00.000 +0100,rain,4.261111111,0.572222222,0.65,16.8889,130,9.982,0,1008.67,Overcast
2015-02-22 03:00:00.000 +0100,rain,2.755555556,-0.805555556,0.73,13.8782,130,9.982,0,1008.25,Mostly Cloudy
2015-02-22 04:00:00.000 +0100,rain,3.372222222,-0.722222222,0.74,18.1608,129,9.982,0,1007.68,Mostly Cloudy
2015-02-22 05:00:00.000 +0100,rain,3.794444444,0.511111111,0.82,13.6528,139,9.982,0,1007.87,Mostly Cloudy
2015-02-22 06:00:00.000 +0100,rain,4.838888889,1.538888889,0.76,15.1662,139,9.982,0,1007.59,Overcast
2015-02-22 07:00:00.000 +0100,rain,5.827777778,2.35,0.78,18.193,128,8.3398,0,1007.43,Mostly Cloudy
2015-02-22 08:00:00.000 +0100,rain,5.95,2.705555556,0.76,16.6313,138,8.05,0,1007.51,Mostly Cloudy
2015-02-22 09:00:00.000 +0100,rain,7.061111111,3.55,0.79,21.2198,129,8.05,0,1007.58,Mostly Cloudy
2015-02-22 10:00:00.000 +0100,rain,9.772222222,6.711111111,0.71,24.4076,138,11.9784,0,1007.1,Overcast
2015-02-22 11:00:00.000 +0100,rain,10.97222222,10.97222222,0.62,24.7618,149,12.2199,0,1007.47,Overcast
2015-02-22 12:00:00.000 +0100,rain,12.17222222,12.17222222,0.53,30.6705,149,12.2199,0,1006.98,Mostly Cloudy
2015-02-22 13:00:00.000 +0100,rain,12.13888889,12.13888889,0.58,28.8673,160,14.7315,0,1006.52,Mostly Cloudy
2015-02-22 14:00:00.000 +0100,rain,12.17777778,12.17777778,0.61,26.2591,149,13.1376,0,1005.89,Mostly Cloudy
2015-02-22 15:00:00.000 +0100,rain,12.11111111,12.11111111,0.58,20.1572,148,12.2199,0,1005.3,Mostly Cloudy
2015-02-22 16:00:00.000 +0100,rain,10.88333333,10.88333333,0.65,19.6742,142,8.9838,0,1006.03,Overcast
2015-02-22 17:00:00.000 +0100,rain,8.894444444,6.005555556,0.77,19.8835,140,7.4865,0,1006.67,Overcast
2015-02-22 18:00:00.000 +0100,rain,7.805555556,5.627777778,0.83,12.236,120,7.4543,0,1006.77,Overcast
2015-02-22 19:00:00.000 +0100,rain,7.733333333,4.933333333,0.84,16.5347,131,6.3112,0,1007.19,Overcast
2015-02-22 20:00:00.000 +0100,rain,7.222222222,4.283333333,0.86,16.6474,130,6.1985,0,1007.2,Overcast
2015-02-22 21:00:00.000 +0100,rain,6.694444444,4.027777778,0.93,13.8299,139,8.05,0,1007.5,Overcast
2015-02-22 22:00:00.000 +0100,rain,6.7,3.888888889,0.91,14.7959,132,7.6797,0,1007.61,Overcast
2015-02-22 23:00:00.000 +0100,rain,6.666666667,3.538888889,0.9,17.0982,138,9.7083,0,1007.91,Overcast
2015-02-23 00:00:00.000 +0100,rain,6.644444444,3.5,0.9,17.1948,139,7.8246,0,1007.9,Overcast
2015-02-23 01:00:00.000 +0100,rain,6.65,4.5,0.9,10.7387,111,7.3255,0,1007.78,Overcast
2015-02-23 02:00:00.000 +0100,rain,6.6,3.877777778,0.9,14.0553,111,3.9123,0,1007.89,Overcast
2015-02-23 03:00:00.000 +0100,rain,6.088888889,2.85,0.96,16.8245,120,3.9123,0,1007.49,Overcast
2015-02-23 04:00:00.000 +0100,rain,6.166666667,2.933333333,0.96,16.9372,122,6.1663,0,1007.4,Overcast
2015-02-23 05:00:00.000 +0100,rain,6.138888889,3.022222222,1,16.0195,120,5.957,0,1007.2,Overcast
2015-02-23 06:00:00.000 +0100,rain,6.138888889,3.316666667,0.93,13.9909,130,3.0429,0,1007.18,Foggy
2015-02-23 07:00:00.000 +0100,rain,6.133333333,3.094444444,0.94,15.4882,140,1.4329,0,1007.34,Foggy
2015-02-23 08:00:00.000 +0100,rain,6.138888889,2.794444444,1,17.71,140,1.449,0,1007.5,Foggy
2015-02-23 09:00:00.000 +0100,rain,7.177777778,3.838888889,0.94,19.9479,150,1.7549,0,1007.68,Foggy
2015-02-23 10:00:00.000 +0100,rain,7.672222222,4.594444444,0.96,18.7404,170,1.8193,0,1007.46,Foggy
2015-02-23 11:00:00.000 +0100,rain,8.772222222,6.188888889,0.9,16.8406,180,2.5277,0,1007.21,Foggy
2015-02-23 12:00:00.000 +0100,rain,9.838888889,8.088888889,0.87,12.2843,180,4.4436,0,1006.8,Overcast
2015-02-23 13:00:00.000 +0100,rain,9.827777778,8.216666667,0.88,11.3666,173,6.0858,0,1006.47,Overcast
2015-02-23 14:00:00.000 +0100,rain,10.87777778,10.87777778,0.82,9.2092,171,6.0214,0,1006.29,Overcast
2015-02-23 15:00:00.000 +0100,rain,10.9,10.9,0.79,9.0321,170,7.8729,0,1005.63,Mostly Cloudy
2015-02-23 16:00:00.000 +0100,rain,10.96111111,10.96111111,0.82,7.2772,179,8.0178,0,1005.73,Mostly Cloudy
2015-02-23 17:00:00.000 +0100,rain,8.816666667,8.816666667,0.9,4.5885,214,4.4436,0,1005.23,Mostly Cloudy
2015-02-23 18:00:00.000 +0100,rain,7.8,7.8,0.96,2.2057,164,4.4436,0,1005.7,Mostly Cloudy
2015-02-23 19:00:00.000 +0100,rain,6.461111111,6.461111111,0.99,3.3649,156,1.2397,0,1005.77,Foggy
2015-02-23 20:00:00.000 +0100,rain,4.211111111,4.211111111,1,4.5724,327,0.5313,0,1005.85,Foggy
2015-02-23 21:00:00.000 +0100,rain,5.644444444,4.516666667,0.96,5.8926,310,1.0626,0,1006.4,Foggy
2015-02-23 22:00:00.000 +0100,rain,6.027777778,6.027777778,0.94,0.7084,155,0.7567,0,1006.51,Foggy
2015-02-23 23:00:00.000 +0100,rain,6.038888889,6.038888889,0.96,3.22,200,0.4669,0,1006.46,Foggy
2015-02-24 00:00:00.000 +0100,rain,6.038888889,4.85,0.96,6.279,131,1.3846,0,1005.91,Foggy
2015-02-24 01:00:00.000 +0100,rain,5.477777778,2.816666667,0.97,12.2038,157,6.0697,0,1006.06,Clear
2015-02-24 02:00:00.000 +0100,rain,5.533333333,2.622222222,0.94,13.7011,140,7.728,0,1005.5,Clear
2015-02-24 03:00:00.000 +0100,rain,5.577777778,2.555555556,0.94,14.49,150,7.728,0,1005.31,Clear
2015-02-24 04:00:00.000 +0100,rain,4.638888889,2.2,0.93,10.2074,150,5.9248,0,1005.37,Partly Cloudy
2015-02-24 05:00:00.000 +0100,rain,4.027777778,4.027777778,0.93,4.6046,140,1.6905,0,1005.68,Foggy
2015-02-24 06:00:00.000 +0100,rain,3.005555556,3.005555556,1,4.7495,130,0.322,0,1005.58,Foggy
2015-02-24 07:00:00.000 +0100,rain,4.2,3.233333333,0.93,4.8783,108,1.7871,0,1005.6,Foggy
2015-02-24 08:00:00.000 +0100,rain,6.111111111,4.405555556,0.94,8.1949,119,6.7942,0,1005.87,Mostly Cloudy
2015-02-24 09:00:00.000 +0100,rain,8.727777778,6.883333333,0.84,11.3988,129,7.7441,0,1005.71,Mostly Cloudy
2015-02-24 10:00:00.000 +0100,rain,8.644444444,6.561111111,0.85,12.8317,157,8.8872,0,1005.41,Mostly Cloudy
2015-02-24 11:00:00.000 +0100,rain,10.86111111,10.86111111,0.81,15.7297,170,9.6439,0,1005.23,Mostly Cloudy
2015-02-24 12:00:00.000 +0100,rain,12.02222222,12.02222222,0.73,10.9963,169,9.6761,0,1004.94,Mostly Cloudy
2015-02-24 13:00:00.000 +0100,rain,12.45555556,12.45555556,0.74,8.4686,170,9.3863,0,1004.5,Mostly Cloudy
2015-02-24 14:00:00.000 +0100,rain,12.6,12.6,0.73,9.1931,119,8.0017,0,1004.33,Mostly Cloudy
2015-02-24 15:00:00.000 +0100,rain,13.66666667,13.66666667,0.68,9.3541,98,9.9015,0,1003.94,Mostly Cloudy
2015-02-24 16:00:00.000 +0100,rain,13.69444444,13.69444444,0.68,7.3899,109,9.7405,0,1003.84,Partly Cloudy
2015-02-24 17:00:00.000 +0100,rain,11.97222222,11.97222222,0.73,4.4114,51,7.8246,0,1004.07,Partly Cloudy
2015-02-24 18:00:00.000 +0100,rain,9.816666667,8.6,0.84,9.0321,27,6.9069,0,1004.57,Partly Cloudy
2015-02-24 19:00:00.000 +0100,rain,8.811111111,7.2,0.89,10.143,35,7.3577,0,1005.2,Partly Cloudy
2015-02-24 20:00:00.000 +0100,rain,7.244444444,5.161111111,0.87,11.0285,18,6.0697,0,1005.38,Partly Cloudy
2015-02-24 21:00:00.000 +0100,rain,6.761111111,5.577777778,0.93,6.6493,18,6.0697,0,1005.77,Partly Cloudy
2015-02-24 22:00:00.000 +0100,rain,5.45,4.327777778,0.93,5.7799,342,4.9588,0,1006.24,Clear
2015-02-24 23:00:00.000 +0100,rain,4.75,3.25,0.92,6.601,324,2.0769,0,1006.46,Foggy
2015-02-25 00:00:00.000 +0100,rain,4.75,2.155555556,0.96,11.0285,323,2.0769,0,1006.65,Foggy
2015-02-25 01:00:00.000 +0100,rain,5.816666667,3.727777778,0.96,9.6278,349,4.1699,0,1006.71,Mostly Cloudy
2015-02-25 02:00:00.000 +0100,rain,5.694444444,5.694444444,0.96,2.6726,69,1.61,0,1006.77,Foggy
2015-02-25 03:00:00.000 +0100,rain,5.161111111,5.161111111,0.96,3.6547,336,3.059,0,1006.68,Foggy
2015-02-25 04:00:00.000 +0100,rain,5.233333333,3.377777778,0.96,8.1788,318,3.1717,0,1006.9,Foggy
2015-02-25 05:00:00.000 +0100,rain,4.122222222,1.372222222,0.92,11.1895,292,0.8533,0,1007.27,Foggy
2015-02-25 06:00:00.000 +0100,rain,5.072222222,2.483333333,0.93,11.3505,302,1.3202,0,1007.67,Foggy
2015-02-25 07:00:00.000 +0100,rain,6.138888889,3.388888889,0.94,13.5884,323,1.6422,0,1007.92,Foggy
2015-02-25 08:00:00.000 +0100,rain,7.155555556,4.294444444,0.93,15.9551,320,3.059,0,1008.39,Foggy
2015-02-25 09:00:00.000 +0100,rain,7.711111111,5.144444444,0.89,14.7315,339,3.5581,0,1008.69,Overcast
2015-02-25 10:00:00.000 +0100,rain,8.666666667,6.422222222,0.9,13.9909,349,3.9767,0,1008.83,Overcast
2015-02-25 11:00:00.000 +0100,rain,8.916666667,6.905555556,0.83,12.7512,358,6.2951,0,1008.9,Overcast
2015-02-25 12:00:00.000 +0100,rain,8.894444444,6.422222222,0.83,16.1483,351,6.2951,0,1008.99,Overcast
